Embedding Model,Tokenizer Type,Saved At Epoch,Test Precision,Test Recall,Global Macro F1,Global Weighted F1,B-Disease F1,I-Disease F1
FASTTEXT,WORDPIECE,18,0.8571,0.8367,0.8466,0.9657,0.7406,0.8164
GLOVE,WORDPIECE,18,0.8549,0.8383,0.8463,0.9659,0.7384,0.8173
ELMO,WORDPIECE,25,0.8442,0.8041,0.8232,0.9603,0.7057,0.7836
FASTTEXT,WHITESPACE,10,0.8175,0.7643,0.7889,0.9699,0.7053,0.6747
FASTTEXT,NLTK,24,0.8214,0.7578,0.7872,0.9704,0.7225,0.6519
GLOVE,NLTK,20,0.8003,0.7646,0.7816,0.9694,0.7013,0.6566
GLOVE,WHITESPACE,18,0.7762,0.7606,0.7673,0.9671,0.6831,0.6332
ELMO,NLTK,18,0.771,0.7405,0.7552,0.9644,0.6706,0.6112
ELMO,WHITESPACE,12,0.7777,0.7177,0.745,0.9637,0.6532,0.5979
WORD2VEC,NLTK,15,0.7056,0.7322,0.718,0.9552,0.5598,0.616
WORD2VEC,WHITESPACE,17,0.6768,0.7325,0.7009,0.9501,0.5161,0.6122
WORD2VEC,WORDPIECE,35,0.6449,0.6194,0.6317,0.965,0.7321,0.8119
BERT,WORDPIECE,27,0.6389,0.6191,0.6286,0.962,0.7413,0.7926
BERT,WHITESPACE,12,0.5769,0.6034,0.5892,0.9621,0.714,0.6645
BERT,NLTK,19,0.5395,0.6142,0.5721,0.9627,0.6893,0.618
